"Category","Annual Mean","5-yr smooth"
246,2392.37,2908.67
247,3555.4,3017.93
248,2871.22,3127.89
249,2818.44,3215.77
250,4275.23,3258.76
251,2641.07,3236.53
252,2800.18,3158.6
253,3273.29,3054.57
254,3048.18,2954.4
255,2965.22,2888.03
256,3072.58,2884.3
257,2866.59,2942.85
258,3047.43,3032.47
259,2809.63,3120.47
260,3156.96,3174.16
261,2708.53,3161.15
262,3626.58,3072.46
263,3139.28,2938.3
264,2906.64,2792.59
265,2751.44,2669.29
266,2149.71,2602.32
267,2906.09,2611.59
268,2406.95,2679
269,2677.96,2780.01
270,3102.25,2890.12
271,3059.18,2984.78
272,2233.6,3043.97
273,3781.23,3068.14
274,3184.87,3063.53
275,3200.66,3036.43
276,3245.7,2993.1
277,2302.21,2939.87
278,2980.8,2883.59
279,2619.02,2831.34
280,2825.7,2790.19
281,2826.12,2767.23
282,2826.11,2768.84
283,2826.82,2791.37
284,2827.62,2823.6
285,2837.45,2854.14
286,3323.94,2871.59
287,2719.3,2864.83
288,2410.56,2831.58
289,2759.67,2780.03
290,2809.24,2718.97
291,2559.52,2657.22
292,2919.77,2603.55
293,2473.32,2563.81
294,2057.9,2538.32
295,3206.93,2526.82
296,2677.85,2529.03
297,2307.5,2544.67
298,2144.05,2573
299,2381.3,2611.91
300,3184.73,2659
301,3087.72,2711.87
302,2330.66,2768.14
303,3218.88,2825.06
304,2310.63,2878.14
305,2896.29,2922.28
306,2986.36,2952.4
307,3601.67,2963.43
308,2507.73,2951.01
309,2554.99,2917.48
310,3103.8,2868.69
311,3227.18,2810.53
312,2511.4,2748.91
313,3096.07,2689.61
314,2025.37,2636.5
315,2225.23,2591.9
316,3078.54,2558.03
317,2743.72,2537.15
318,2321.58,2531.45
319,2664.12,2541.8
320,2748.05,2567.28
321,2367.58,2606.83
322,2024.38,2659.41
323,2978.96,2723.93
324,3119.9,2795.11
325,3822.36,2858.66
326,1915.9,2899.17
327,2514.72,2901.21
328,3018.35,2849.36
329,2970.2,2737.6
330,2623.42,2592.89
331,2681.36,2449.43
332,2092.91,2341.43
333,2219.81,2303.08
334,2364.9,2360.18
335,2861.72,2488.51
336,2173.84,2645.47
337,2594.12,2788.47
338,3373.78,2874.86
339,2908.13,2866.77
340,2889.1,2775.98
341,2105.58,2643.88
342,2743.02,2512.29
343,2360.91,2423
344,2487.46,2415.99
345,2346.93,2493.06
346,2590.41,2619.93
347,3078.08,2760.93
348,3091.4,2880.38
349,2500.66,2943
350,3284.82,2935.75
351,2852.06,2878.76
352,2556.07,2794.84
353,2395.23,2706.81
354,2494.72,2637.47
355,2709.79,2601.6
356,2865.57,2594.78
357,2835.36,2609.73
358,3115.95,2639.21
359,2062.02,2675.95
